t,v_10,v_25,v_75,v_90
11.26666667,12.16468431,17.09,25.272,30.42983333
11.3,12.33067647,17.08760784,25.024,30.50107255
11.33333333,12.08977353,16.84839216,25.024,30.49839804
11.36666667,12.23713039,16.59757843,25.024,30.32820196
11.4,12.42516471,16.84360784,25.024,30.1536
11.43333333,12.50177451,16.60439216,24.777,30.3248049
11.46666667,12.66706961,17.09356863,25.024,30.1552951
11.5,12.45315588,16.35940196,25.024,30.22727059
11.53333333,12.42827451,16.59959804,25.024,30.15432941
11.56666667,12.88882549,16.59076,25.02643137,30.228
11.6,13.0613,16.59076,25.26956863,30.5001
11.63333333,13.15722549,16.10256863,25.272,30.57279804
11.66666667,12.8462451,16.58763725,25.02643137,30.4009
11.7,13.13162941,16.11060784,25.26956863,30.17988824
11.73333333,13.23378137,15.87139216,24.777,30.2241098
11.76666667,13.40048333,15.869,25.024,29.98170196
11.8,13.42943529,15.625,25.024,29.97927059
11.83333333,13.31857451,15.625,25.024,29.90632941
11.86666667,13.48602549,15.869,25.02157843,29.8312
11.9,13.4669,15.869,24.77942157,29.51055588
11.93333333,13.21981569,15.869,25.024,29.65614412
11.96666667,13.10860196,16.10743137,24.77942157,29.5832
12,12.85817353,16.35056863,25.02157843,29.484
12.03333333,12.96252353,16.113,25.024,29.65589804
12.06666667,13.20464412,15.857,24.77942157,29.48570196
12.1,12.56860392,15.13460784,25.02157843,29.236
12.13333333,13.04818431,15.381,24.777,29.54160392
12.16666667,12.97471765,15.62260784,24.777,29.58222745
12.2,12.7848,16.105,24.777,29.41130196
12.23333333,12.2895,15.625,24.777,28.989
12.26666667,12.2151,15.62739216,25.02157843,28.989
12.3,11.86717353,15.85943137,24.77942157,28.91314118
12.33333333,11.79112255,15.857,24.777,28.6666
12.36666667,11.45000392,15.85456863,24.61482745,28.6666
12.4,11.37147059,15.61143137,24.53143137,28.66514412
12.43333333,11.29683431,15.609,24.777,28.59049804
12.46666667,11.2009951,15.60657843,24.53680196,28.42103137
12.5,10.9513,15.137,24.529,28.41689804
12.53333333,10.6024049,15.362,24.529,28.3445
12.56666667,10.4328951,15.13939216,24.28343137,28.34620196
12.6,10.1832,15.114,24.52656863,28.51566863
12.63333333,10.00450098,14.866,25.024,28.27082941
12.66666667,9.42019902,14.88581373,25.024,28.26839804
12.7,9.5887,14.648,24.777,28.09820196
12.73333333,9.413398039,14.404,24.033,28.0965
12.76666667,9.169101961,14.61556863,24.27856863,28.02380196
12.8,9.166670588,14.37243137,24.03543137,28.11959804
12.83333333,8.925235294,14.37,24.17,28.2949
12.86666667,9.435094118,14.37,24.17239216,28.4701951
12.9,9.265870588,14.16,24.41160784,28.56414608
12.93333333,9.711327451,14.123,24.281,28.8401
12.96666667,9.540401961,14.15760784,24.414,28.3648
13,9.6379,14.37,24.529,28.76642941
13.03333333,9.114396078,14.15760784,24.53385294,28.49217059
13.06666667,8.699903922,13.91839216,24.777,28.24389804
13.1,8.943473529,13.91360784,24.281,28.14664314
13.13333333,8.52262451,13.92317647,24.777,28.2456
13.16666667,8.277301961,13.875,24.777,28.27389804
13.2,8.4492,13.428,24.529,27.99930196
13.23333333,8.447498039,13.875,24.777,27.824
13.26666667,8.277301961,13.875,24.777,28.03219706
13.3,8.274870588,13.916,24.77456863,28.34070294
13.33333333,8.02492549,13.916,24.53143137,28.20276418
13.36666667,7.683803922,13.916,24.529,28.2756
13.4,7.606729412,14.13271569,25.024,28.23918209
13.43333333,7.334872549,14.37,24.777,28.02916418
13.46666667,7.357298039,14.16957843,24.777,28.0288
13.5,7.2595,14.37,24.777,28.02734328
13.53333333,6.914001961,13.91360784,24.777,27.92998
13.56666667,7.010098039,13.42560784,24.777,27.71050196
13.6,7.084444118,13.916,24.529,27.84739804
13.63333333,6.768659804,13.916,24.77456863,27.95450746
13.66666667,7.107596078,13.428,24.53143137,28.1308951
13.7,7.283141176,13.672,24.777,28.22756908
13.73333333,7.483758824,13.672,24.777,28.43928209
13.76666667,7.7055,13.379,24.529,28.4757
13.8,7.8791,13.428,24.89960784,28.54352647
13.83333333,7.702102941,13.66721569,24.529,28.4433
13.86666667,7.436497059,13.184,24.529,27.9556
13.9,7.110270588,13.184,24.529,28.17556567
13.93333333,6.863729412,13.184,24.414,28.03853284
13.96666667,6.7886,13.184,24.529,28.07339804
14,6.614273529,12.939,24.529,28.01245569
14.03333333,6.543328431,13.18639216,24.281,28.12000746
14.06666667,6.712798039,13.379,24.414,27.86815392
14.1,6.615,13.184,24.414,27.99419608
14.13333333,6.440398039,13.379,24.281,28.03962537
14.16666667,6.196101961,13.184,24.41160784,28.29299804
14.2,6.1944,13.184,24.281,28.04996614
14.23333333,6.019098039,12.94140196,24.53143137,28.14902836
14.26666667,5.848901961,12.94140196,24.281,27.90135
14.3,5.5255,13.184,24.41160784,27.82435672
14.33333333,5.523798039,12.939,24.28343137,27.5519
14.36666667,5.353601961,13.184,24.281,27.7231049
14.4,5.278229412,13.13442157,24.281,27.5535951
14.43333333,5.352872549,12.94379412,24.033,27.72459104
14.46666667,5.449398039,12.88643137,24.033,27.90320196
14.5,5.697670588,12.94140196,24.033,28.07376222
14.53333333,5.973631373,12.884,24.281,28.28548209
14.56666667,6.143098039,12.88643137,24.033,28.4971951
14.6,6.564970588,12.93660784,24.033,28.63028699
14.63333333,6.315032353,12.69739216,24.281,28.59556418
14.66666667,5.974597059,12.884,24.281,28.28189608
14.7,5.377429412,12.68782353,24.281,27.97883228
14.73333333,5.62157549,12.63356863,24.033,28.04826418
14.76666667,5.378395098,12.884,24.03057843,27.9482
14.8,5.129,12.63356863,24.033,27.98461791
14.83333333,5.304295098,12.451,23.786,27.97735025
14.86666667,5.473804902,12.388,24.02814706,28.23620588
14.9,5.129,12.388,24.03057843,28.59244608
14.93333333,4.9554,12.388,24.03057843,28.29614876
14.96666667,4.9554,12.388,23.78842157,28.1194049
15,4.912,12.39043137,24.033,27.91347719
15.03333333,4.912,12.388,24.033,27.87536418
15.06666667,4.6668,12.141,24.033,27.5271
15.1,4.6668,12.141,23.786,27.5271
15.13333333,4.6668,12.141,23.786,27.5271
15.16666667,4.543152941,12.207,23.786,27.56292941
15.2,4.5704,12.14342157,23.538,27.66328013
15.23333333,4.471388235,12.141,23.538,27.62856418
15.26666667,4.8376,12.141,23.538,27.62990196
15.3,4.533070588,12.141,23.786,27.79863983
15.33333333,4.633729412,12.141,23.78356863,28.1213
15.36666667,4.5586,12.24006667,23.54043137,28.12708667
15.4,5.153070588,12.26483333,23.54043137,28.20727333
15.43333333,5.07672549,12.141,23.786,28.23703761
15.46666667,4.735603922,12.141,23.538,28.39104667
15.5,4.385,12.141,23.538,28.5551
15.53333333,4.3211,12.141,23.78356863,28.55758
15.56666667,4.1503,12.141,23.54043137,28.56006
15.6,4.186,12.13856863,23.538,28.4513396
15.63333333,4.077817647,11.89543137,23.538,28.34787254
15.66666667,3.9315,12.141,23.538,28.53571667
15.7,3.9063,12.13856863,23.56276667,28.90802776
15.73333333,3.936780392,11.89543137,23.58753333,28.54637881
15.76666667,4.004617647,12.141,23.6123,28.36992667
15.8,3.800033137,12.20460784,23.63706667,28.37571333
15.83333333,3.84683098,12.13856863,23.66183333,28.3815
15.86666667,3.912902353,12.35506667,23.54043137,28.31408667
15.9,3.907926667,11.95581373,23.538,28.29407333
15.93333333,3.829033333,12.13856863,23.53556863,28.30234
15.96666667,3.82334,11.963,23.50493333,28.33144667
16,3.817646667,12.22136275,23.49666667,28.37365124
16.03333333,3.710143137,12.3139,23.4884,28.41585582
16.06666667,3.732342353,11.719,23.48013333,28.34880667
16.1,3.727366667,11.95342157,23.47186667,28.34367333
16.13333333,3.648473333,11.645,23.40573333,28.54480537
16.16666667,3.64278,11.645,23.45533333,28.72832
16.2,3.563586667,11.645,23.3892,28.70534333
16.23333333,3.777793333,11.645,23.38093333,28.63052985
16.26666667,3.7721,11.645,23.37266667,28.56429
16.3,3.546506667,11.645,23.3644,28.49404269
16.33333333,3.46833098,11.645,23.35613333,28.25671
16.36666667,3.534402353,11.645,23.34786667,28.23028
16.4,3.456226667,11.645,23.3396,28.20385
16.43333333,3.525171569,11.645,23.33133333,28.55503
16.46666667,3.663301765,11.645,23.32306667,28.51373
16.5,3.439146667,11.645,23.29,28.32532
16.53333333,3.432018039,11.645,23.30653333,28.30989
16.56666667,3.282795294,11.645,23.29826667,28.2975
16.6,3.422066667,11.645,23.29,28.07418
16.63333333,3.341020392,11.645,23.28756863,28.07666
16.66666667,3.015543529,11.645,23.24866667,28.07914
16.7,3.258586667,11.645,23.2404,28.19393582
16.73333333,3.240683333,11.645,23.23213333,28.15751791
16.76666667,3.22278,11.645,23.22386667,28.09247
16.8,3.21057,11.645,23.2156,28.03152
16.83333333,3.19836,11.645,23.20733333,28.00509
16.86666667,3.18615,11.62873333,23.19906667,28.19556
16.9,3.17386,11.56266667,23.1908,28.18317
16.93333333,3.14537,11.4966,23.18253333,28.17078
16.96666667,3.11688,11.43053333,23.17426667,28.15839
17,3.08839,11.36446667,23.166,28.146
17.03333333,3.0599,11.2984,23.15773333,28.13361
17.06666667,3.03141,11.2545,23.14946667,28.12122
17.1,3.00292,11.24633333,23.1412,28.10883
17.13333333,2.97443,11.23816667,23.125,28.0965
17.16666667,2.94594,11.23,23.0837,28.0965
17.2,2.91745,11.2056,23.0424,28.0965
17.23333333,2.88896,11.1812,23.0011,28.0965
17.26666667,2.86047,11.1568,22.9598,28.0965
